Datetime,Price,Volume,VolOsc,VolOscNorm,Volatility,PredictedVolatility
2023-08-07 13:15:00+05:30,1653.8499755859375,2662057,114015.53571428545,-0.10689731507149511,8.923982028871205,7.921076128037228
2023-08-07 14:15:00+05:30,1652.199951171875,2280886,-240969.85714285728,-0.2505035382330748,7.921076128037228,6.836084853342769
2023-08-07 15:15:00+05:30,1651.25,374850,-308129.53571428545,-0.277672396395838,6.836084853342769,5.2900304453762805
2023-08-08 09:15:00+05:30,1645.25,0,-420795.49999999977,-0.323250422803364,5.2900304453762805,4.122762117097508
2023-08-08 10:15:00+05:30,1649.5999755859375,2705953,-492242.6071428573,-0.3521537225420537,4.122762117097508,4.202176136617543
2023-08-08 11:15:00+05:30,1654.5,2789961,-501386.4285714284,-0.35585277519898784,4.202176136617543,3.884187403219404
2023-08-08 12:15:00+05:30,1652.0,2646578,-499609.14285714296,-0.3551337898715823,3.884187403219404,3.0216868709253366
2023-08-08 13:15:00+05:30,1650.6500244140625,3122497,-501932.60714285704,-0.35607372694346207,3.0216868709253366,2.8732543348599013
2023-08-08 14:15:00+05:30,1650.0999755859375,5929284,-503122.6428571427,-0.35655514544065847,2.8732543348599013,2.878269914334944
2023-08-08 15:15:00+05:30,1650.0,992768,-491736.25,-0.35194888020679205,2.878269914334944,2.6286624674011185
2023-08-09 09:15:00+05:30,1645.5,2465312,-403689.3928571427,-0.3163302973863399,2.6286624674011185,4.713584704484127
2023-08-09 10:15:00+05:30,1635.5999755859375,3595204,-384004.92857142864,-0.3083671202305745,4.713584704484127,7.0703770567261905
2023-08-09 11:15:00+05:30,1634.699951171875,1608244,-425707.32142857136,-0.32523745702616413,6.09934577279692,6.592159577369927
2023-08-09 12:15:00+05:30,1638.699951171875,2849723,-310680.42857142864,-0.27870433769898795,6.592159577369927,6.785903076298985
2023-08-09 13:15:00+05:30,1637.75,1971134,-182172.67857142817,-0.2267176560049633,6.785903076298985,6.729453167048246
2023-08-09 14:15:00+05:30,1651.300048828125,2730390,63208.60714285681,-0.12745081183331608,6.729453167048246,6.823534063343695
2023-08-09 15:15:00+05:30,1652.699951171875,1458397,139286.5357142859,-0.09667415395405499,6.823534063343695,7.055332135708002
2023-08-10 09:15:00+05:30,1653.199951171875,0,236570.60714285728,-0.05731873721649733,7.055332135708002,7.2153850037663
2023-08-10 10:15:00+05:30,1640.300048828125,3536989,284118.82142857136,-0.03808352470059316,7.2153850037663,6.84198531934022
2023-08-10 11:15:00+05:30,1643.0999755859375,3031037,296971.3571428573,-0.03288414424968912,6.84198531934022,6.659029687060328
2023-08-10 12:15:00+05:30,1640.9000244140625,3465671,311237.07142857136,-0.02711307481839556,6.659029687060328,6.986472038192596
2023-08-10 13:15:00+05:30,1633.9000244140625,5240996,368608.0,-0.0039041695023078193,6.986472038192596,10.479708057288894
2023-08-10 14:15:00+05:30,1635.5,5811164,305243.57142857136,-0.029537692607852897,7.0008106993454255,6.744987288146673
2023-08-10 15:15:00+05:30,1637.5,1532553,315596.5714285718,-0.025349477378979468,6.744987288146673,7.769470088874479
2023-08-11 09:15:00+05:30,1626.0999755859375,3032107,247792.39285714272,-0.052779062356676745,7.769470088874479,8.065550520707696
2023-08-11 10:15:00+05:30,1631.0,2337351,156056.64285714272,-0.08988995438624385,8.065550520707696,8.671171875982163
2023-08-11 11:15:00+05:30,1627.050048828125,1284140,176230.2142857141,-0.08172891323122554,8.671171875982163,9.28685500129406
2023-08-11 12:15:00+05:30,1626.800048828125,1863193,116850.17857142864,-0.10575058519776732,9.28685500129406,10.218241136561083
2023-08-11 13:15:00+05:30,1622.449951171875,1721043,132594.17857142864,-0.09938148826321885,10.218241136561083,10.608277544312964
2023-08-11 14:15:00+05:30,1617.699951171875,2852058,120885.75,-0.10411803021714834,10.608277544312964,9.885589689636515
2023-08-11 15:15:00+05:30,1620.800048828125,1019389,66508.78571428591,-0.12611575357475716,9.885589689636515,10.698355334456636
2023-08-14 09:15:00+05:30,1604.050048828125,0,66508.78571428591,-0.12611575357475716,10.698355334456636,11.50526407802709
